Adult Mortality,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Thinness age 10-19,Thinness age 5-9,Income composition of resources,Schooling,Life expectancy
157.0,52.6,85.0,82.0,1.2,4952.67753,3.4,3.3,0.695,12.9,73.6
161.0,51.5,86.0,82.0,1.4,511.37937,3.4,3.3,0.692,12.8,73.3
164.0,5.4,86.0,85.0,1.6,4647.31359,3.4,3.4,0.685,12.7,72.9
178.0,49.3,88.0,89.0,1.8,3836.468771,3.5,3.4,0.677,12.6,72.3
28.0,48.2,86.0,87.0,2.0,3681.5993,3.5,3.4,0.668,12.6,69.7
214.0,47.2,66.0,79.0,2.1,2421.9662,3.6,3.5,0.666,12.5,69.3
22.0,46.1,65.0,79.0,2.3,2372.628827,3.6,3.5,0.665,12.4,73.0
189.0,45.1,74.0,82.0,2.4,38.46578,3.7,3.6,0.66,12.3,71.4
188.0,44.1,71.0,72.0,2.5,2862.154836,3.8,3.6,0.656,12.3,71.2
176.0,43.1,71.0,78.0,2.5,282.4242,3.8,3.7,0.651,12.2,72.0
121.0,52.8,87.0,87.0,0.1,674.9829,1.3,1.1,0.725,13.4,76.0
127.0,52.1,85.0,87.0,0.1,572.14313,1.3,1.2,0.717,13.3,75.5
131.0,51.4,85.0,88.0,0.1,5223.351763,1.3,1.2,0.71,13.2,75.3
134.0,5.7,88.0,91.0,0.1,4657.32361,1.3,1.2,0.703,13.1,75.0
137.0,5.0,91.0,94.0,0.1,4255.56571,1.3,1.2,0.702,13.1,75.1
139.0,49.3,94.0,96.0,0.1,4274.95265,1.3,1.2,0.698,13.0,74.6
14.0,48.6,95.0,96.0,0.2,359.71886,1.4,1.3,0.696,12.9,74.7
144.0,47.9,92.0,96.0,0.3,335.786541,1.4,1.3,0.693,12.8,74.4
151.0,47.2,89.0,92.0,0.3,321.942547,1.4,1.3,0.688,12.8,74.2
148.0,46.5,9.0,88.0,0.3,278.557892,1.5,1.3,0.682,12.7,74.4
151.0,45.8,97.0,87.0,0.3,244.46898,1.5,1.4,0.679,12.6,74.4
157.0,45.1,88.0,88.0,0.3,2183.966796,1.5,1.4,0.675,12.5,73.6
158.0,44.3,9.0,89.0,0.3,193.741571,1.6,1.5,0.67,12.4,73.4
163.0,43.6,83.0,87.0,0.3,1451.29776,1.6,1.5,0.668,12.4,72.8
184.0,54.7,92.0,92.0,0.2,3895.664491,1.6,1.6,0.675,13.2,73.0
181.0,54.1,93.0,92.0,0.3,3827.786267,1.6,1.6,0.67,13.2,73.0
197.0,53.4,9.0,89.0,0.3,3736.58713,1.7,1.6,0.666,13.0,72.0
191.0,52.8,89.0,89.0,0.3,3474.392445,1.7,1.6,0.662,12.9,72.0
23.0,52.1,91.0,91.0,0.3,3366.482133,1.7,1.6,0.662,12.8,71.4
194.0,51.4,98.0,98.0,0.3,357.347674,1.8,1.7,0.659,13.4,71.7
23.0,5.8,99.0,99.0,0.3,334.83817,1.8,1.7,0.657,12.9,71.2
211.0,5.1,96.0,96.0,0.2,362.951768,1.8,1.7,0.651,12.9,75.0
213.0,49.4,89.0,89.0,0.2,2835.281237,1.9,1.8,0.644,12.7,71.0
215.0,48.6,9.0,9.0,0.3,2632.79942,1.9,1.8,0.636,12.4,70.0
29.0,47.8,93.0,94.0,0.3,2519.737387,2.0,1.9,0.628,12.0,69.9
24.0,47.0,81.0,81.0,0.4,248.4125,2.0,1.9,0.621,11.8,73.0
219.0,46.2,94.0,92.0,0.4,2338.772244,2.1,2.0,0.615,11.6,68.9
218.0,45.3,98.0,99.0,0.4,2238.4116,2.1,2.0,0.607,11.3,69.0
286.0,16.5,96.0,96.0,0.7,582.775532,8.8,8.7,0.405,5.0,62.9
298.0,16.0,9.0,9.0,0.9,482.14994,8.9,8.8,0.404,5.1,62.1
311.0,15.5,92.0,92.0,1.0,43.7544499,9.0,8.9,0.402,5.2,61.4
322.0,15.1,94.0,94.0,1.1,326.825642,9.1,9.1,0.406,5.2,67.0
329.0,14.7,91.0,91.0,1.3,317.3294336,9.2,9.2,0.405,5.3,62.0
336.0,14.3,94.0,94.0,1.4,297.828588,9.3,9.3,0.405,5.3,59.7
34.0,13.9,96.0,96.0,1.6,276.75896,9.4,9.5,0.0,5.4,59.4
342.0,13.6,98.0,98.0,1.8,287.4222243,9.6,9.6,0.0,5.0,59.1
343.0,13.3,95.0,93.0,1.9,232.7945459,9.7,9.7,0.0,4.7,58.8
343.0,13.1,92.0,9.0,1.9,21.7687981,9.9,9.9,0.0,4.4,58.5
237.0,16.8,7.0,72.0,0.9,52.1535887,1.6,1.4,0.427,8.4,63.7
241.0,16.4,7.0,69.0,1.2,468.567249,1.7,1.5,0.422,8.4,63.3
249.0,16.0,7.0,65.0,1.4,354.8463544,1.9,1.6,0.411,8.2,62.6
261.0,15.6,69.0,61.0,1.7,341.39992,11.0,1.7,0.401,8.1,61.8
274.0,15.3,65.0,58.0,2.0,379.7566385,11.1,1.8,0.393,8.1,68.0
289.0,14.9,63.0,54.0,2.4,325.3825543,11.2,1.9,0.378,7.6,59.8
39.0,14.5,61.0,5.0,2.8,243.326822,11.3,11.0,0.362,7.1,58.5
81.0,61.6,99.0,99.0,0.1,42554.1225,0.6,0.6,0.887,16.2,82.0
83.0,61.1,99.0,99.0,0.1,4838.2444,0.6,0.6,0.885,16.1,81.5
83.0,6.6,99.0,99.0,0.1,4381.288,0.6,0.6,0.882,16.1,81.7
86.0,6.1,99.0,99.0,0.1,473.34279,0.6,0.6,0.879,16.0,81.3
88.0,59.6,98.0,98.0,0.1,41631.13141,0.6,0.6,0.879,16.0,81.1
88.0,59.1,98.0,98.0,0.1,45413.6571,0.6,0.6,0.877,16.1,89.0
89.0,58.6,99.0,98.0,0.1,416.58397,0.6,0.6,0.873,16.1,89.0
92.0,58.0,99.0,99.0,0.1,36544.5853,0.6,0.6,0.87,16.1,86.0
93.0,57.5,98.0,98.0,0.1,34879.72633,0.6,0.6,0.86,15.5,81.0
94.0,57.0,99.0,98.0,0.1,33874.74255,0.6,0.6,0.857,15.5,82.0
99.0,56.4,96.0,97.0,0.1,29691.18158,0.6,0.6,0.852,15.4,79.3
11.0,55.8,97.0,97.0,0.1,24275.2426,0.7,0.6,0.851,15.5,79.2
13.0,55.2,98.0,97.0,0.1,22527.31775,0.7,0.6,0.849,15.6,79.0
13.0,54.6,98.0,97.0,0.1,22465.64184,0.7,0.6,0.844,15.7,78.8
71.0,61.4,94.0,95.0,0.1,4653.91143,1.1,1.1,0.919,16.9,86.0
71.0,6.9,94.0,95.0,0.1,4465.24891,1.1,1.1,0.916,16.9,86.0
74.0,6.4,94.0,95.0,0.1,4681.32796,1.1,1.1,0.912,16.8,85.0
76.0,59.9,94.0,95.0,0.1,41785.55691,1.1,1.1,0.907,16.7,81.0
79.0,59.5,95.0,96.0,0.1,41732.7725,1.1,1.1,0.906,16.7,80.0
8.0,59.0,95.0,96.0,0.1,45699.19832,1.1,1.1,0.903,16.6,79.9
82.0,58.5,95.0,96.0,0.1,41814.8191,1.1,1.1,0.898,16.6,79.8
84.0,58.0,94.0,96.0,0.1,36447.87232,1.1,1.1,0.892,16.5,79.6
85.0,57.6,95.0,96.0,0.1,34696.6292,1.1,1.1,0.884,16.4,79.2
86.0,57.1,96.0,96.0,0.1,34165.9343,1.1,1.1,0.877,16.4,79.1
9.0,56.6,96.0,97.0,0.1,3359.95215,1.1,1.1,0.872,16.3,78.5
91.0,56.1,97.0,93.0,0.1,2525.16445,1.2,1.1,0.867,16.3,78.4
92.0,55.6,96.0,93.0,0.1,23687.31689,1.2,1.1,0.86,16.2,78.3
95.0,55.1,94.0,9.0,0.1,23718.7467,1.2,1.2,0.855,16.2,78.0
254.0,27.3,91.0,9.0,0.9,1814.492297,6.6,6.4,0.57,11.5,61.9
257.0,26.7,91.0,92.0,0.9,1629.8222,6.7,6.6,0.563,11.2,61.6
263.0,26.1,91.0,91.0,1.3,1574.978653,6.9,6.8,0.554,10.9,61.2
267.0,25.5,94.0,94.0,1.9,1312.67557,7.1,7.0,0.547,10.5,69.0
271.0,24.9,94.0,94.0,2.1,186.76538,7.3,7.2,0.542,10.4,66.0
275.0,24.2,92.0,93.0,2.2,1224.41554,7.5,7.4,0.53,9.8,63.0
28.0,23.6,94.0,94.0,2.6,19.686718,7.7,7.6,0.519,9.1,59.9
288.0,23.0,84.0,84.0,2.9,922.9351677,7.9,7.9,0.51,8.7,59.4
296.0,22.4,85.0,84.0,3.1,498.172394,8.1,8.1,0.499,8.1,58.9
34.0,21.8,81.0,8.0,3.2,423.1936389,8.4,8.3,0.491,7.7,58.3
38.0,21.2,8.0,8.0,3.4,373.2815537,8.6,8.5,0.489,7.9,57.9
31.0,2.7,8.0,78.0,3.5,39.484473,8.8,8.8,0.484,7.6,57.6
74.0,65.4,99.0,99.0,0.1,21874.8195,0.8,0.7,0.86,17.1,86.0
76.0,64.9,99.0,99.0,0.1,22242.68193,0.8,0.7,0.858,16.8,84.0
76.0,64.3,99.0,99.0,0.1,25916.29353,0.8,0.7,0.86,16.7,85.0
76.0,63.7,99.0,99.0,0.1,26917.75898,0.8,0.7,0.859,16.4,83.0
78.0,63.1,99.0,99.0,0.1,2971.973,0.8,0.7,0.857,16.2,80.0
77.0,62.4,99.0,99.0,0.1,31997.2821,0.8,0.7,0.853,15.9,79.9
8.0,61.8,99.0,99.0,0.1,28827.32636,0.8,0.7,0.855,16.4,79.4
77.0,61.2,98.0,98.0,0.1,2481.15781,0.8,0.7,0.85,16.3,79.7
81.0,6.5,96.0,96.0,0.1,22551.73574,0.8,0.7,0.839,15.6,79.3
81.0,59.9,95.0,95.0,0.1,21955.149,0.8,0.8,0.83,15.3,79.2
81.0,59.2,93.0,94.0,0.1,18477.57841,0.8,0.8,0.823,15.2,79.1
81.0,58.6,92.0,92.0,0.1,1411.31339,0.8,0.8,0.811,14.6,79.0
83.0,58.0,9.0,91.0,0.1,12538.17883,0.9,0.8,0.801,14.2,78.7
84.0,57.4,89.0,89.0,0.1,1242.95373,0.9,0.8,0.794,13.9,78.2
189.0,49.3,84.0,85.0,0.4,3452.828934,1.2,1.2,0.611,10.7,71.4
189.0,48.6,94.0,96.0,0.4,3299.65139,1.2,1.2,0.616,10.6,71.3
193.0,47.9,88.0,88.0,0.4,3187.845296,1.2,1.2,0.609,10.5,71.1
196.0,47.2,94.0,94.0,0.4,2825.5247,1.3,1.3,0.602,10.5,77.0
198.0,46.5,92.0,92.0,0.4,2635.753474,1.3,1.3,0.596,10.4,76.0
19.0,45.9,96.0,95.0,0.4,2794.22189,1.3,1.3,0.589,10.4,79.0
192.0,45.2,85.0,85.0,0.4,2489.955836,1.3,1.3,0.578,10.1,75.0
24.0,44.5,9.0,89.0,0.4,2256.56724,1.4,1.4,0.57,9.8,69.7
28.0,43.8,87.0,87.0,0.4,277.83438,1.4,1.4,0.567,9.6,69.2
284.0,22.2,63.0,63.0,1.0,54.169324,7.7,7.6,0.406,8.5,58.8
288.0,21.7,63.0,62.0,1.9,52.3485646,7.8,7.8,0.396,8.5,58.4
29.0,21.2,63.0,63.0,2.0,459.2912,8.0,8.0,0.385,8.4,58.1
291.0,2.8,62.0,64.0,2.2,438.7513346,8.2,8.2,0.38,8.3,57.8
297.0,2.3,6.0,57.0,2.3,436.6895539,8.4,8.4,0.376,8.1,57.3
33.0,19.8,59.0,6.0,2.3,437.4467238,8.6,8.6,0.371,7.9,56.8
36.0,19.4,46.0,63.0,2.4,49.456775,8.9,8.8,0.364,7.6,56.4
15.0,49.3,97.0,97.0,0.4,2136.77395,2.2,2.1,0.614,11.6,74.3
151.0,48.4,97.0,97.0,0.4,2178.38325,2.2,2.1,0.614,11.6,74.1
153.0,47.6,97.0,97.0,0.4,212.584798,2.2,2.2,0.611,11.7,73.9
156.0,46.8,97.0,97.0,0.4,1932.85829,2.3,2.2,0.606,11.5,73.6
157.0,45.9,97.0,97.0,0.5,1815.489496,2.3,2.2,0.603,11.3,73.4
159.0,45.1,93.0,93.0,0.6,1751.595857,2.3,2.3,0.597,11.1,73.2
16.0,44.3,94.0,94.0,0.7,1592.572182,2.4,2.3,0.59,10.9,73.0
161.0,43.5,94.0,95.0,0.8,1437.628785,2.4,2.4,0.583,10.8,72.8
163.0,42.8,98.0,98.0,0.9,1311.741714,2.5,2.4,0.577,10.6,72.5
165.0,42.0,94.0,94.0,1.2,1217.657961,2.6,2.5,0.571,10.4,72.2
166.0,41.2,92.0,92.0,1.4,1157.3427,2.6,2.5,0.566,10.3,71.9
169.0,4.4,95.0,95.0,1.5,1132.8721,2.7,2.6,0.561,10.1,71.6
171.0,39.6,99.0,96.0,1.6,113.4546,2.7,2.7,0.557,9.9,71.3
174.0,38.8,88.0,94.0,1.7,188.783165,2.8,2.7,0.551,9.8,71.0
187.0,17.5,82.0,83.0,0.2,1452.195373,26.8,27.5,0.599,11.5,67.6
19.0,17.0,79.0,82.0,0.2,1446.98541,26.9,27.6,0.59,11.3,67.3
193.0,16.4,79.0,82.0,0.2,1461.671957,26.9,27.7,0.58,10.8,66.8
196.0,15.9,76.0,79.0,0.2,1345.77153,27.0,27.8,0.569,10.4,66.4
2.0,15.4,73.0,74.0,0.2,19.317765,27.0,27.8,0.563,10.5,66.0
23.0,14.9,69.0,7.0,0.3,991.484634,27.0,27.9,0.556,10.2,65.5
26.0,14.4,67.0,64.0,0.3,118.166373,27.1,28.0,0.546,9.9,65.2
28.0,13.9,66.0,65.0,0.3,792.259698,27.1,28.0,0.536,9.7,64.8
211.0,13.5,65.0,65.0,0.3,77.819,27.2,28.1,0.526,9.4,64.4
214.0,13.0,58.0,63.0,0.3,621.3183767,27.2,28.2,0.518,9.2,64.0
181.0,25.6,86.0,85.0,0.3,362.663981,1.5,1.3,0.677,12.9,68.7
183.0,24.7,84.0,83.0,0.3,3687.953996,1.5,1.4,0.669,12.6,68.5
185.0,23.8,81.0,81.0,0.3,3634.27685,1.6,1.5,0.662,12.3,68.3
187.0,22.9,82.0,81.0,0.3,3113.48635,1.6,1.5,0.656,12.1,68.1
189.0,22.1,85.0,78.0,0.3,2254.44566,1.7,1.6,0.645,11.7,67.9
189.0,21.3,83.0,77.0,0.2,216.52766,1.7,1.7,0.641,11.7,67.7
19.0,2.5,77.0,73.0,0.2,1855.93915,1.8,1.7,0.638,11.0,67.5
191.0,19.7,78.0,72.0,0.1,1586.254,1.8,1.8,0.632,10.9,67.3
19.0,19.0,79.0,72.0,0.1,126.928834,1.9,1.9,0.629,11.1,67.2
213.0,18.2,79.0,71.0,0.1,1148.56996,1.9,1.9,0.624,11.0,65.3
189.0,17.5,8.0,71.0,0.1,164.59447,1.9,11.0,0.613,10.8,66.9
189.0,16.7,8.0,7.0,0.1,899.5556857,11.0,11.1,0.608,10.6,66.7
188.0,16.0,77.0,76.0,0.1,747.9817455,11.0,11.1,0.604,10.6,66.5
188.0,15.4,72.0,75.0,0.1,78.92744,11.0,11.2,0.597,10.7,66.3
17.0,57.8,7.0,68.0,0.1,6925.22446,5.3,5.1,0.659,10.3,69.5
147.0,57.2,7.0,69.0,0.1,6651.12242,5.3,5.1,0.656,10.5,76.0
144.0,56.5,8.0,79.0,0.1,5854.614497,5.3,5.1,0.649,10.4,77.0
145.0,55.8,74.0,74.0,0.1,452.74948,5.3,5.1,0.646,10.4,76.0
148.0,55.2,78.0,78.0,0.1,3735.144836,5.4,5.1,0.643,10.3,74.0
167.0,54.5,71.0,69.0,0.1,4521.3247,5.4,5.1,0.638,10.3,69.3
227.0,53.8,74.0,57.0,0.1,3129.224922,5.4,5.1,0.636,10.2,65.9
249.0,53.2,63.0,59.0,0.1,2351.812429,5.4,5.1,0.631,10.2,64.7
29.0,52.5,69.0,65.0,0.1,1849.63911,5.4,5.2,0.628,10.1,66.8
21.0,51.9,69.0,74.0,0.1,1391.816923,5.4,5.2,0.603,9.8,67.2
67.0,61.3,96.0,96.0,0.1,5234.76736,0.3,0.2,0.902,18.6,81.0
69.0,6.5,95.0,95.0,0.1,49231.36254,0.3,0.2,0.895,18.5,85.0
7.0,59.7,95.0,95.0,0.1,52567.52568,0.3,0.2,0.909,18.5,84.0
68.0,58.9,94.0,94.0,0.1,48538.58776,0.3,0.2,0.907,18.2,86.0
58.0,62.6,96.0,96.0,0.1,3537.27441,0.5,0.6,0.876,16.5,82.3
6.0,62.1,96.0,97.0,0.1,34814.12436,0.5,0.6,0.877,16.6,82.0
6.0,61.5,96.0,96.0,0.1,38334.68477,0.5,0.5,0.872,16.4,82.0
6.0,61.0,96.0,96.0,0.1,35849.37364,0.5,0.5,0.869,16.4,81.8
61.0,6.5,96.0,96.0,0.1,36976.84512,0.5,0.5,0.868,16.3,81.6
61.0,59.9,96.0,96.0,0.1,464.18465,0.5,0.5,0.866,16.3,81.5
63.0,59.4,97.0,97.0,0.1,37698.78573,0.5,0.5,0.862,16.1,81.3
65.0,58.8,97.0,96.0,0.1,3341.7482,0.5,0.5,0.856,16.0,81.2
66.0,58.2,97.0,95.0,0.1,31959.26215,0.5,0.5,0.851,15.8,88.0
66.0,57.6,97.0,94.0,0.1,31174.56118,0.5,0.5,0.846,15.6,89.0
72.0,57.0,97.0,96.0,0.1,27387.2258,0.5,0.5,0.841,15.4,79.9
72.0,56.4,96.0,93.0,0.1,22196.5736,0.5,0.5,0.836,15.2,80.0
75.0,55.7,96.0,93.0,0.1,24.819,0.5,0.5,0.828,14.9,79.8
77.0,55.0,97.0,87.0,0.1,251.2426,0.5,0.5,0.823,14.8,79.4
136.0,52.7,86.0,93.0,0.6,56.144952,1.8,1.7,0.727,12.8,75.6
138.0,52.0,96.0,96.0,0.5,521.33363,1.8,1.7,0.725,12.8,75.3
139.0,51.2,93.0,92.0,0.6,513.549487,1.8,1.7,0.722,12.8,75.2
138.0,5.5,94.0,94.0,0.5,4682.728424,1.8,1.7,0.721,12.7,75.0
142.0,49.7,9.0,9.0,0.6,4293.383274,1.9,1.7,0.721,12.7,74.7
145.0,48.9,91.0,91.0,0.4,492.492378,1.9,1.7,0.718,12.6,74.5
148.0,48.1,94.0,92.0,0.9,462.517913,1.9,1.7,0.714,12.5,74.2
15.0,47.2,99.0,95.0,1.5,4313.1682,1.9,1.7,0.709,12.5,74.0
161.0,46.3,99.0,99.0,1.9,482.24762,1.9,1.7,0.706,12.4,73.5
165.0,45.4,97.0,98.0,2.3,3719.97351,1.9,1.8,0.689,11.1,73.3
166.0,44.5,99.0,96.0,2.3,3465.221998,1.9,1.8,0.694,11.9,73.1
114.0,64.0,98.0,98.0,0.1,3992.86717,3.9,3.9,0.737,13.1,73.9
115.0,63.2,98.0,98.0,0.1,387.753211,3.9,3.9,0.735,12.9,73.7
116.0,62.4,98.0,98.0,0.1,387.324145,3.8,3.9,0.737,13.1,73.6
117.0,61.7,98.0,98.0,0.1,3679.19275,3.8,3.8,0.739,13.2,73.4
118.0,6.9,98.0,98.0,0.1,3492.1396,3.8,3.8,0.742,13.6,73.3
119.0,6.1,98.0,97.0,0.1,3385.69665,3.8,3.8,0.739,13.6,73.1
12.0,59.3,98.0,98.0,0.1,2762.86354,3.8,3.8,0.736,13.6,73.0
121.0,58.6,98.0,98.0,0.1,2537.349,3.9,3.8,0.733,13.7,72.8
127.0,57.8,95.0,95.0,0.1,223.83787,3.9,3.8,0.73,13.8,72.4
125.0,57.0,95.0,95.0,0.1,261.456882,3.9,3.8,0.723,13.5,72.5
127.0,56.3,97.0,97.0,0.1,1889.213962,3.9,3.9,0.717,13.2,72.3
129.0,55.5,95.0,95.0,0.1,1812.288374,3.9,3.9,0.712,13.0,72.1
131.0,54.8,97.0,99.0,0.1,1728.2659,4.0,3.9,0.706,12.7,71.9
133.0,54.0,94.0,91.0,0.1,1657.889256,4.0,4.0,0.7,12.6,71.7
28.0,51.4,98.0,98.0,0.1,1389.8561,2.4,2.5,0.782,15.0,69.5
214.0,5.6,98.0,99.0,0.1,12387.18982,2.4,2.5,0.774,14.7,69.1
224.0,49.9,99.0,99.0,0.1,11634.42422,2.3,2.5,0.766,14.4,68.5
236.0,49.2,98.0,99.0,0.1,97.649972,2.3,2.5,0.763,14.5,67.8
235.0,48.5,99.0,98.0,0.1,7165.2775,2.3,2.5,0.758,14.6,67.8
258.0,47.9,99.0,99.0,0.1,8513.564645,2.4,2.5,0.758,14.6,66.6
288.0,47.3,94.0,93.0,0.1,6771.414797,2.4,2.5,0.754,14.7,65.3
295.0,46.8,99.0,99.0,0.1,5291.57565,2.4,2.5,0.747,14.3,65.0
294.0,46.3,99.0,98.0,0.1,3771.278957,2.4,2.5,0.737,13.9,64.6
287.0,45.8,99.0,82.0,0.1,2874.288291,2.5,2.6,0.725,13.5,64.7
282.0,45.3,99.0,99.0,0.1,268.123657,2.5,2.6,0.714,13.1,64.4
276.0,44.8,95.0,95.0,0.1,1658.31146,2.6,2.6,0.7,12.7,64.7
284.0,44.4,95.0,95.0,0.1,149.926751,2.6,2.7,0.685,12.3,64.4
292.0,43.9,96.0,97.0,0.1,1229.958,2.7,2.7,0.676,12.1,63.9
258.0,2.7,94.0,87.0,3.0,1229.114798,7.9,7.7,0.541,11.1,62.6
263.0,2.1,94.0,94.0,3.0,1155.2582,8.0,7.8,0.536,11.1,62.1
278.0,19.5,97.0,96.0,3.4,987.4453967,8.1,7.9,0.53,11.1,61.2
294.0,18.9,9.0,9.0,4.3,967.34773,8.2,8.0,0.523,11.1,63.0
317.0,18.4,89.0,88.0,5.0,92.816252,8.2,8.1,0.514,10.7,59.1
339.0,17.9,88.0,88.0,6.4,916.8992515,8.3,8.2,0.506,10.4,57.9
356.0,17.3,76.0,81.0,9.1,839.181117,8.4,8.3,0.494,10.1,56.8
388.0,16.9,77.0,8.0,10.3,697.66385,8.5,8.4,0.483,9.7,55.3
412.0,16.4,7.0,76.0,11.6,519.7999346,8.6,8.5,0.474,9.6,54.1
432.0,15.9,73.0,73.0,13.2,458.8843551,8.7,8.6,0.461,8.9,53.0
437.0,15.5,75.0,73.0,14.5,436.6875357,8.8,8.8,0.45,8.2,52.4
437.0,15.1,83.0,84.0,15.7,395.8493511,8.9,8.9,0.451,8.5,52.1
97.0,64.9,75.0,81.0,0.1,846.285153,4.8,4.8,0.766,13.3,74.9
93.0,64.4,75.0,81.0,0.1,8787.94668,4.8,4.8,0.763,13.3,75.0
93.0,64.0,75.0,81.0,0.1,8734.9653,4.7,4.7,0.758,13.2,75.0
94.0,63.5,75.0,81.0,0.1,8763.826274,4.7,4.7,0.752,13.3,74.9
95.0,63.0,75.0,81.0,0.1,84.268878,4.7,4.7,0.746,13.2,74.7
98.0,62.5,75.0,81.0,0.1,712.775759,4.7,4.7,0.74,13.1,74.5
98.0,61.9,75.0,8.0,0.1,614.271115,4.7,4.6,0.731,12.9,74.4
1.0,61.4,75.0,78.0,0.1,5372.65899,4.7,4.6,0.733,13.2,74.1
11.0,6.8,74.0,77.0,0.1,5339.441291,4.7,4.6,0.0,13.7,73.9
13.0,6.2,74.0,75.0,0.1,5424.22356,4.7,4.6,0.0,14.2,73.7
15.0,59.7,74.0,74.0,0.1,5425.6697,4.8,4.7,0.0,14.8,73.5
17.0,59.1,77.0,77.0,0.1,5436.595223,4.8,4.7,0.0,15.2,73.2
11.0,58.6,8.0,8.0,0.1,5253.122599,4.9,4.7,0.0,15.0,73.0
112.0,57.9,83.0,83.0,0.1,5334.93329,4.9,4.8,0.0,14.9,72.7
258.0,26.1,75.0,76.0,1.1,454.1222236,6.8,6.7,0.419,9.8,61.1
261.0,25.6,8.0,8.0,1.2,415.361958,7.0,6.9,0.416,9.6,67.0
266.0,25.0,77.0,77.0,1.5,379.689583,7.2,7.0,0.406,9.5,62.0
272.0,24.5,71.0,7.0,1.8,327.42597,7.4,7.2,0.403,9.6,59.7
277.0,24.0,84.0,81.0,2.1,33.667491,7.6,7.4,0.4,9.7,59.2
281.0,23.4,79.0,75.0,2.4,232.61732,7.7,7.6,0.394,9.8,58.6
178.0,61.4,93.0,93.0,0.1,15712.82376,2.7,2.7,0.834,16.4,73.0
176.0,6.9,93.0,93.0,0.1,14341.836,2.7,2.7,0.83,16.5,73.0
18.0,6.5,92.0,92.0,0.1,14357.73679,2.7,2.8,0.826,16.7,72.8
188.0,6.0,95.0,95.0,0.1,11984.86857,2.8,2.8,0.824,16.8,72.4
192.0,59.7,98.0,98.0,0.1,11837.3913,2.8,2.9,0.825,16.6,72.2
224.0,59.3,96.0,96.0,0.1,14961.56818,2.9,2.9,0.82,16.5,71.1
24.0,59.0,95.0,95.0,0.1,12297.91535,2.9,3.0,0.812,16.4,72.0
229.0,58.7,94.0,94.0,0.1,924.642548,3.0,3.0,0.807,16.4,76.0
222.0,58.4,93.0,94.0,0.1,7863.1629,3.0,3.1,0.798,16.2,78.0
24.0,58.1,9.0,94.0,0.1,676.966998,3.1,3.1,0.792,16.3,71.6
22.0,57.8,91.0,94.0,0.1,555.535669,3.2,3.2,0.78,15.8,71.6
22.0,57.5,97.0,95.0,0.1,4146.987928,3.3,3.3,0.77,15.3,71.4
21.0,57.2,97.0,95.0,0.1,353.147337,3.3,3.3,0.757,14.7,71.2
2.0,56.9,92.0,94.0,0.1,3297.35471,3.4,3.4,0.745,14.0,71.6
23.0,19.5,73.0,74.0,0.4,461.723722,7.3,7.2,0.508,10.3,64.7
235.0,19.0,71.0,7.0,0.4,443.9611,7.4,7.3,0.506,10.2,64.3
241.0,18.5,73.0,73.0,0.4,454.963464,7.5,7.4,0.504,10.2,63.8
248.0,18.0,7.0,7.0,0.5,412.739341,7.6,7.5,0.503,10.2,63.3
254.0,17.6,76.0,77.0,0.5,415.6893226,7.7,7.6,0.5,9.7,62.8
259.0,17.1,77.0,77.0,0.5,47.733254,7.8,7.7,0.491,9.4,62.3
261.0,16.7,83.0,84.0,0.6,377.8482928,7.9,7.8,0.483,9.1,61.9
263.0,16.3,83.0,85.0,0.6,292.157443,8.0,7.9,0.478,9.0,61.4
265.0,15.8,8.0,85.0,0.6,274.819723,8.1,8.0,0.473,8.9,69.0
267.0,15.4,74.0,78.0,0.6,245.1235876,8.2,8.1,0.466,8.7,64.0
268.0,15.0,65.0,66.0,0.7,316.7998965,8.3,8.3,0.457,8.5,59.9
271.0,14.7,61.0,62.0,0.7,262.2859481,8.5,8.4,0.462,8.3,59.3
394.0,18.8,89.0,89.0,6.3,332.922339,6.5,6.4,0.459,10.7,56.7
42.0,18.4,95.0,96.0,8.3,374.51882,6.6,6.5,0.454,10.7,55.3
441.0,18.0,97.0,97.0,11.2,512.125451,6.7,6.6,0.444,10.6,54.1
462.0,17.6,86.0,93.0,13.7,458.8681744,6.8,6.7,0.43,10.2,52.9
491.0,17.3,93.0,93.0,14.9,42.7379657,6.9,6.8,0.415,9.9,51.5
525.0,16.9,92.0,91.0,16.9,372.842678,7.0,6.9,0.4,9.6,50.0
559.0,16.6,88.0,87.0,19.3,32.2227274,7.1,7.0,0.387,9.7,48.5
587.0,16.2,99.0,99.0,21.1,297.6971211,7.3,7.1,0.377,9.6,47.1
66.0,15.9,94.0,93.0,22.4,28.3673842,7.4,7.2,0.371,9.7,46.0
615.0,15.5,94.0,89.0,23.4,274.2256294,7.5,7.4,0.366,10.0,45.1
613.0,15.2,85.0,84.0,24.2,26.152517,7.6,7.5,0.362,10.3,44.6
67.0,14.8,79.0,64.0,24.7,29.9798977,7.7,7.6,0.388,10.4,44.0
128.0,38.5,97.0,97.0,0.1,1882.27842,7.8,7.6,0.779,12.9,74.6
129.0,37.4,97.0,97.0,0.1,1779.49641,7.9,7.7,0.776,12.9,74.5
13.0,36.3,96.0,96.0,0.1,145.1262,8.0,7.8,0.774,13.0,74.3
131.0,35.3,96.0,96.0,0.1,971.356987,8.2,8.0,0.764,12.8,74.1
